Layer,Parameter,Bit Position,Original Value,New Value
resnet.conv1,"(np.int64(62), np.int64(1), np.int64(2), np.int64(2))",23,-0.2774066627025604,-0.1387033313512802
resnet.conv1,"(np.int64(49), np.int64(2), np.int64(2), np.int64(0))",24,-0.21685650944709778,-0.8674260377883911
resnet.conv1,"(np.int64(22), np.int64(2), np.int64(1), np.int64(0))",29,-0.1237487718462944,-6.708434363908271e-21
resnet.conv1,"(np.int64(47), np.int64(0), np.int64(2), np.int64(2))",25,0.14164875447750092,0.008853047154843807
resnet.conv1,"(np.int64(25), np.int64(1), np.int64(0), np.int64(0))",24,-0.145608589053154,-0.582434356212616
resnet.conv1,"(np.int64(57), np.int64(1), np.int64(1), np.int64(1))",29,-0.14799930155277252,-8.023058213492663e-21
resnet.conv1,"(np.int64(8), np.int64(0), np.int64(0), np.int64(2))",24,0.11002419143915176,0.02750604785978794
resnet.conv1,"(np.int64(13), np.int64(2), np.int64(1), np.int64(1))",25,0.08569387346506119,1.371101975440979
resnet.conv1,"(np.int64(47), np.int64(0), np.int64(1), np.int64(1))",31,-0.06801021844148636,0.06801021844148636
resnet.conv1,"(np.int64(48), np.int64(2), np.int64(0), np.int64(1))",27,-0.048466768115758896,-7.395441912194656e-07
resnet.conv1,"(np.int64(39), np.int64(1), np.int64(0), np.int64(1))",27,0.04872417822480202,7.434719577759097e-07
resnet.conv1,"(np.int64(24), np.int64(0), np.int64(2), np.int64(1))",31,0.012885089963674545,-0.012885089963674545
